,Unnamed: 0,home_avrg_Home_Poss,last_3_home_avrg_Home_Poss,home_avrg_Home_PA,last_3_home_avrg_Home_PA,home_avrg_Home_ShoT,last_3_home_avrg_Home_ShoT,home_avrg_Home_Saves,last_3_home_avrg_Home_Saves,home_avrg_HomeFouls,last_3_home_avrg_HomeFouls,home_avrg_HomeCorners,last_3_home_avrg_HomeCorners,home_avrg_HomeCrosses,last_3_home_avrg_HomeCrosses,home_avrg_HomeTouches,last_3_home_avrg_HomeTouches,home_avrg_HomeTackles,last_3_home_avrg_HomeTackles,home_avrg_HomeInterceptions,last_3_home_avrg_HomeInterceptions,home_avrg_HomeAerials,last_3_home_avrg_HomeAerials,home_avrg_HomeClearances,last_3_home_avrg_HomeClearances,home_avrg_HomeOffsides,last_3_home_avrg_HomeOffsides,home_avrg_HomeGoalKicks,last_3_home_avrg_HomeGoalKicks,home_avrg_HomeThrowIns,last_3_home_avrg_HomeThrowIns,home_avrg_HomeLongBalls,last_3_home_avrg_HomeLongBalls,away_avrg_Away_Poss,last_3_away_avrg_Away_Poss,away_avrg_Away_PA,last_3_away_avrg_Away_PA,away_avrg_Away_ShoT,last_3_away_avrg_Away_ShoT,away_avrg_Away_Saves,last_3_away_avrg_Away_Saves,away_avrg_AwayFouls,last_3_away_avrg_AwayFouls,away_avrg_AwayCorners,last_3_away_avrg_AwayCorners,away_avrg_AwayCrosses,last_3_away_avrg_AwayCrosses,away_avrg_AwayTouches,last_3_away_avrg_AwayTouches,away_avrg_AwayTackles,last_3_away_avrg_AwayTackles,away_avrg_AwayInterceptions,last_3_away_avrg_AwayInterceptions,away_avrg_AwayAerials,last_3_away_avrg_AwayAerials,away_avrg_AwayClearances,last_3_away_avrg_AwayClearances,away_avrg_AwayOffsides,last_3_away_avrg_AwayOffsides,away_avrg_AwayGoalKicks,last_3_away_avrg_AwayGoalKicks,away_avrg_AwayThrowIns,last_3_away_avrg_AwayThrowIns,away_avrg_AwayLongBalls,last_3_away_avrg_AwayLongBalls,home_pnts_lst_5,away_pnts_lst_5,home_pnts_lst_3,away_pnts_lst_3,home_pnts_lst_game,away_pnts_lst_game,result,number_of_goals,number_of_corners,América (MG)_HT,Atl Goianiense_HT,Atl Paranaense_HT,Atlético Mineiro_HT,Avaí_HT,Bahia_HT,Botafogo (RJ)_HT,Bragantino_HT,CSA_HT,Ceará_HT,Chapecoense_HT,Corinthians_HT,Coritiba_HT,Cruzeiro_HT,Flamengo_HT,Fluminense_HT,Fortaleza_HT,Goiás_HT,Grêmio_HT,Internacional_HT,Palmeiras_HT,Paraná_HT,Ponte Preta_HT,Santos_HT,Sport Recife_HT,São Paulo_HT,Vasco da Gama_HT,Vitória_HT,América (MG)_AT,Atl Goianiense_AT,Atl Paranaense_AT,Atlético Mineiro_AT,Avaí_AT,Bahia_AT,Botafogo (RJ)_AT,Bragantino_AT,CSA_AT,Ceará_AT,Chapecoense_AT,Corinthians_AT,Coritiba_AT,Cruzeiro_AT,Flamengo_AT,Fluminense_AT,Fortaleza_AT,Goiás_AT,Grêmio_AT,Internacional_AT,Palmeiras_AT,Paraná_AT,Ponte Preta_AT,Santos_AT,Sport Recife_AT,São Paulo_AT,Vasco da Gama_AT,Vitória_AT
0,0,0.6,0.6,0.76,0.76,0.63,0.63,0.66,0.66,13.0,13.0,10.0,10.0,28.0,28.0,615.0,615.0,33.0,33.0,16.0,16.0,17.0,17.0,8.0,8.0,3.0,3.0,11.0,11.0,27.0,27.0,57.0,57.0,0.4,0.4,0.73,0.73,0.33,0.33,0.66,0.66,23.0,23.0,5.0,5.0,14.0,14.0,503.0,503.0,11.0,11.0,19.0,19.0,8.0,8.0,40.0,40.0,4.0,4.0,14.0,14.0,18.0,18.0,72.0,72.0,3.0,3.0,3.0,3.0,3.0,3.0,1,5,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.47,0.47,0.84,0.84,0.23,0.23,0.75,0.75,13.0,13.0,3.0,3.0,20.0,20.0,596.0,596.0,15.0,15.0,19.0,19.0,15.0,15.0,17.0,17.0,0.0,0.0,5.0,5.0,22.0,22.0,74.0,74.0,0.53,0.53,0.8,0.8,0.48,0.48,0.66,0.66,17.0,17.0,4.0,4.0,19.0,19.0,578.0,578.0,10.0,10.0,18.0,18.0,10.0,10.0,12.0,12.0,2.0,2.0,7.0,7.0,21.0,21.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0.6,0.6,0.81,0.81,0.16,0.16,0.6,0.6,18.0,18.0,12.0,12.0,43.0,43.0,644.0,644.0,17.0,17.0,16.0,16.0,17.0,17.0,10.0,10.0,3.0,3.0,6.0,6.0,24.0,24.0,63.0,63.0,0.6,0.6,0.89,0.89,0.29,0.29,0.66,0.66,12.0,12.0,6.0,6.0,30.0,30.0,834.0,834.0,13.0,13.0,11.0,11.0,9.0,9.0,8.0,8.0,1.0,1.0,4.0,4.0,21.0,21.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,12.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3,0.47,0.47,0.77,0.77,0.43,0.43,1.0,1.0,24.0,24.0,3.0,3.0,15.0,15.0,542.0,542.0,16.0,16.0,16.0,16.0,12.0,12.0,27.0,27.0,1.0,1.0,12.0,12.0,24.0,24.0,50.0,50.0,0.56,0.56,0.77,0.77,0.29,0.29,0.8,0.8,14.0,14.0,7.0,7.0,19.0,19.0,638.0,638.0,16.0,16.0,11.0,11.0,15.0,15.0,15.0,15.0,2.0,2.0,10.0,10.0,23.0,23.0,52.0,52.0,3.0,1.0,3.0,1.0,3.0,1.0,0,1,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0.44,0.44,0.75,0.75,0.5,0.5,0.8,0.8,20.0,20.0,5.0,5.0,14.0,14.0,554.0,554.0,13.0,13.0,26.0,26.0,23.0,23.0,25.0,25.0,1.0,1.0,11.0,11.0,17.0,17.0,49.0,49.0,0.4,0.4,0.81,0.81,0.67,0.67,1.0,1.0,16.0,16.0,3.0,3.0,20.0,20.0,533.0,533.0,20.0,20.0,13.0,13.0,13.0,13.0,21.0,21.0,3.0,3.0,12.0,12.0,16.0,16.0,55.0,55.0,1.0,3.0,1.0,3.0,1.0,3.0,1,7,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,5,0.4,0.4,0.82,0.82,0.55,0.55,1.0,1.0,15.0,15.0,1.0,1.0,14.0,14.0,611.0,611.0,20.0,20.0,11.0,11.0,4.0,4.0,17.0,17.0,1.0,1.0,9.0,9.0,10.0,10.0,58.0,58.0,0.4,0.4,0.7,0.7,0.33,0.33,0.8,0.8,23.0,23.0,5.0,5.0,17.0,17.0,503.0,503.0,24.0,24.0,15.0,15.0,17.0,17.0,24.0,24.0,3.0,3.0,5.0,5.0,32.0,32.0,47.0,47.0,3.0,0.0,3.0,0.0,3.0,0.0,1,1,13.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0.61,0.61,0.85,0.85,0.44,0.44,0.88,0.88,17.0,17.0,6.0,6.0,21.0,21.0,691.0,691.0,24.0,24.0,11.0,11.0,13.0,13.0,17.0,17.0,1.0,1.0,9.0,9.0,15.0,15.0,52.0,52.0,0.6,0.6,0.86,0.86,0.42,0.42,0.3,0.3,11.0,11.0,3.0,3.0,10.0,10.0,669.0,669.0,15.0,15.0,12.0,12.0,11.0,11.0,30.0,30.0,1.0,1.0,10.0,10.0,21.0,21.0,35.0,35.0,3.0,0.0,3.0,0.0,3.0,0.0,1,1,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0.38,0.38,0.86,0.86,0.56,0.56,0.71,0.71,15.0,15.0,5.0,5.0,27.0,27.0,483.0,483.0,12.0,12.0,11.0,11.0,12.0,12.0,28.0,28.0,2.0,2.0,10.0,10.0,7.0,7.0,54.0,54.0,0.63,0.63,0.8,0.8,0.08,0.08,1.0,1.0,15.0,15.0,4.0,4.0,12.0,12.0,756.0,756.0,12.0,12.0,18.0,18.0,19.0,19.0,17.0,17.0,2.0,2.0,13.0,13.0,24.0,24.0,81.0,81.0,3.0,1.0,3.0,1.0,3.0,1.0,1,3,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,0.51,0.51,0.86,0.86,0.56,0.56,1.0,1.0,19.0,19.0,3.0,3.0,18.0,18.0,590.0,590.0,16.0,16.0,16.0,16.0,9.0,9.0,18.0,18.0,5.0,5.0,11.0,11.0,13.0,13.0,47.0,47.0,0.58,0.58,0.82,0.82,0.27,0.27,0.33,0.33,10.0,10.0,6.0,6.0,15.0,15.0,701.0,701.0,15.0,15.0,18.0,18.0,10.0,10.0,27.0,27.0,1.0,1.0,11.0,11.0,26.0,26.0,54.0,54.0,3.0,1.0,3.0,1.0,3.0,1.0,2,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0.38,0.38,0.77,0.77,0.63,0.63,1.0,1.0,10.0,10.0,5.0,5.0,22.0,22.0,550.0,550.0,28.0,28.0,25.0,25.0,13.0,13.0,31.0,31.0,0.0,0.0,10.0,10.0,23.0,23.0,55.0,55.0,0.33,0.33,0.74,0.74,0.07,0.07,0.5,0.5,12.0,12.0,7.0,7.0,22.0,22.0,496.0,496.0,17.0,17.0,22.0,22.0,17.0,17.0,16.0,16.0,3.0,3.0,4.0,4.0,24.0,24.0,43.0,43.0,3.0,1.0,3.0,1.0,3.0,1.0,0,2,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
