,index,Index,HT,Score,AT,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves,HomeFouls,HomeCorners,HomeCrosses,HomeTouches,HomeTackles,HomeInterceptions,HomeAerials,HomeClearances,HomeOffsides,HomeGoalKicks,HomeThrowIns,HomeLongBalls,AwayFouls,AwayCorners,AwayCrosses,AwayTouches,AwayTackles,AwayInterceptions,AwayAerials,AwayClearances,AwayOffsides,AwayGoalKicks,AwayThrowIns,AwayLongBalls,DifferenceGoals,home_win,away_win,points_result_home,points_result_away,home_avrg_Home_Poss,last_3_home_avrg_Home_Poss,home_avrg_Home_PA,last_3_home_avrg_Home_PA,home_avrg_Home_ShoT,last_3_home_avrg_Home_ShoT,home_avrg_Home_Saves,last_3_home_avrg_Home_Saves,home_avrg_HomeFouls,last_3_home_avrg_HomeFouls,home_avrg_HomeCorners,last_3_home_avrg_HomeCorners,home_avrg_HomeCrosses,last_3_home_avrg_HomeCrosses,home_avrg_HomeTouches,last_3_home_avrg_HomeTouches,home_avrg_HomeTackles,last_3_home_avrg_HomeTackles,home_avrg_HomeInterceptions,last_3_home_avrg_HomeInterceptions,home_avrg_HomeAerials,last_3_home_avrg_HomeAerials,home_avrg_HomeClearances,last_3_home_avrg_HomeClearances,home_avrg_HomeOffsides,last_3_home_avrg_HomeOffsides,home_avrg_HomeGoalKicks,last_3_home_avrg_HomeGoalKicks,home_avrg_HomeThrowIns,last_3_home_avrg_HomeThrowIns,home_avrg_HomeLongBalls,last_3_home_avrg_HomeLongBalls,away_avrg_Away_Poss,last_3_away_avrg_Away_Poss,away_avrg_Away_PA,last_3_away_avrg_Away_PA,away_avrg_Away_ShoT,last_3_away_avrg_Away_ShoT,away_avrg_Away_Saves,last_3_away_avrg_Away_Saves,away_avrg_AwayFouls,last_3_away_avrg_AwayFouls,away_avrg_AwayCorners,last_3_away_avrg_AwayCorners,away_avrg_AwayCrosses,last_3_away_avrg_AwayCrosses,away_avrg_AwayTouches,last_3_away_avrg_AwayTouches,away_avrg_AwayTackles,last_3_away_avrg_AwayTackles,away_avrg_AwayInterceptions,last_3_away_avrg_AwayInterceptions,away_avrg_AwayAerials,last_3_away_avrg_AwayAerials,away_avrg_AwayClearances,last_3_away_avrg_AwayClearances,away_avrg_AwayOffsides,last_3_away_avrg_AwayOffsides,away_avrg_AwayGoalKicks,last_3_away_avrg_AwayGoalKicks,away_avrg_AwayThrowIns,last_3_away_avrg_AwayThrowIns,away_avrg_AwayLongBalls,last_3_away_avrg_AwayLongBalls,home_pnts_lst_5,away_pnts_lst_5,home_pnts_lst_3,away_pnts_lst_3,home_pnts_lst_game,away_pnts_lst_game,result,number_of_goals,number_of_corners
0,0,0,Flamengo,1–1,Atlético Mineiro,Jailson Macêdo Freitas,1,1,"https://fbref.com/en/matches/d4af3198/Flamengo-Atletico-Mineiro-May-13-2017-Serie-A"">Match Report",0.42,0.58,0.77,0.82,0.27,0.27,0.25,0.33,7.0,4.0,21.0,537.0,19.0,24.0,10.0,18.0,3.0,10.0,18.0,57.0,10.0,6.0,15.0,701.0,15.0,18.0,10.0,27.0,1.0,11.0,26.0,54.0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,10.0
1,1,1,Corinthians,1–1,Chapecoense,Elmo Alves Resende Cunha,1,1,"https://fbref.com/en/matches/eaf952cd/Corinthians-Chapecoense-May-13-2017-Serie-A"">Match Report",0.67,0.33,0.84,0.74,0.4,0.07,0.0,0.5,10.0,1.0,15.0,810.0,19.0,9.0,14.0,12.0,1.0,10.0,25.0,54.0,12.0,7.0,22.0,496.0,17.0,22.0,17.0,16.0,3.0,4.0,24.0,43.0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8.0
2,2,2,Fluminense,3–2,Santos,Wagner Reway,3,2,"https://fbref.com/en/matches/2b4ec09f/Fluminense-Santos-May-14-2017-Serie-A"">Match Report",0.38,0.62,0.86,0.89,0.56,0.35,0.71,0.4,15.0,5.0,27.0,483.0,12.0,11.0,12.0,28.0,2.0,10.0,7.0,54.0,18.0,8.0,21.0,684.0,13.0,4.0,12.0,22.0,2.0,5.0,22.0,24.0,1,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,13.0
3,3,3,Palmeiras,4–0,Vasco da Gama,Rodolpho Toski Marques,4,0,"https://fbref.com/en/matches/97072c2b/Palmeiras-Vasco-da-Gama-May-14-2017-Serie-A"">Match Report",0.51,0.49,0.86,0.84,0.56,0.31,1.0,0.55,19.0,3.0,18.0,590.0,16.0,16.0,9.0,18.0,5.0,11.0,13.0,47.0,16.0,2.0,16.0,562.0,18.0,17.0,6.0,11.0,2.0,5.0,22.0,41.0,4,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5.0
4,4,4,Bahia,6–2,Atl Paranaense,Flavio Rodrigues De Souza,6,2,"https://fbref.com/en/matches/20e0f0ca/Bahia-Atletico-Paranaense-May-14-2017-Serie-A"">Match Report",0.4,0.6,0.81,0.86,0.37,0.42,0.6,0.3,11.0,14.0,30.0,487.0,22.0,7.0,7.0,16.0,4.0,4.0,20.0,44.0,11.0,3.0,10.0,669.0,15.0,12.0,11.0,30.0,1.0,10.0,21.0,35.0,4,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,17.0
5,5,5,Avaí,0–0,Vitória,Felipe Gomes da Silva,0,0,"https://fbref.com/en/matches/ef847dd8/Avai-Vitoria-May-14-2017-Serie-A"">Match Report",0.38,0.63,0.71,0.8,0.17,0.08,1.0,1.0,6.0,7.0,28.0,522.0,19.0,22.0,23.0,22.0,2.0,8.0,20.0,55.0,15.0,4.0,12.0,756.0,12.0,18.0,19.0,17.0,2.0,13.0,24.0,81.0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,11.0
6,7,7,Cruzeiro,1–0,São Paulo,Marcelo de Lima Henrique,1,0,"https://fbref.com/en/matches/8d785b4c/Cruzeiro-Sao-Paulo-May-14-2017-Serie-A"">Match Report",0.38,0.62,0.77,0.84,0.63,0.23,1.0,0.8,10.0,5.0,22.0,550.0,28.0,25.0,13.0,31.0,0.0,10.0,23.0,55.0,13.0,5.0,32.0,760.0,13.0,15.0,13.0,22.0,0.0,2.0,30.0,71.0,1,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10.0
7,9,9,Coritiba,4–1,Atl Goianiense,Luis César De Oliveira Magalhães,4,1,"https://fbref.com/en/matches/76a50f6c/Coritiba-Atletico-Goianiense-May-15-2017-Serie-A"">Match Report",0.61,0.4,0.85,0.77,0.44,0.53,0.88,0.42,17.0,6.0,21.0,691.0,24.0,11.0,13.0,17.0,1.0,9.0,15.0,52.0,13.0,6.0,23.0,521.0,19.0,14.0,10.0,16.0,1.0,12.0,18.0,52.0,3,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,12.0
8,10,10,Santos,1–0,Coritiba,Wagner do Nascimento Magalhaes,1,0,"https://fbref.com/en/matches/7d014d78/Santos-Coritiba-May-20-2017-Serie-A"">Match Report",0.47,0.53,0.77,0.8,0.43,0.48,1.0,0.66,24.0,3.0,15.0,542.0,16.0,16.0,12.0,27.0,1.0,12.0,24.0,50.0,17.0,4.0,19.0,578.0,10.0,18.0,10.0,12.0,2.0,7.0,21.0,55.0,1,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7.0
9,12,12,Chapecoense,1–0,Palmeiras,André Luiz de Freitas Castro,1,0,"https://fbref.com/en/matches/cc0675a6/Chapecoense-Palmeiras-May-20-2017-Serie-A"">Match Report",0.45,0.55,0.7,0.72,0.36,0.17,1.0,0.75,16.0,3.0,16.0,523.0,24.0,20.0,23.0,20.0,1.0,4.0,37.0,56.0,13.0,4.0,11.0,583.0,18.0,15.0,12.0,16.0,2.0,5.0,25.0,68.0,1,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7.0
