,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves
0,Flamengo,1–1,Atlético Mineiro,"50,220",Jailson Macêdo Freitas,1,1,"https://fbref.com/en/matches/d4af3198/Flamengo-Atletico-Mineiro-May-13-2017-Serie-A"">Match Report",42%,58%,77%,82%,27%,27%,25%,33%
1,Corinthians,1–1,Chapecoense,"31,470",Elmo Alves Resende Cunha,1,1,"https://fbref.com/en/matches/eaf952cd/Corinthians-Chapecoense-May-13-2017-Serie-A"">Match Report",67%,33%,84%,74%,40%,7%,0%,50%
2,Fluminense,3–2,Santos,"11,835",Wagner Reway,3,2,"https://fbref.com/en/matches/2b4ec09f/Fluminense-Santos-May-14-2017-Serie-A"">Match Report",38%,62%,86%,89%,56%,35%,71%,40%
3,Palmeiras,4–0,Vasco da Gama,"3,325",Rodolpho Toski Marques,4,0,"https://fbref.com/en/matches/97072c2b/Palmeiras-Vasco-da-Gama-May-14-2017-Serie-A"">Match Report",51%,49%,86%,84%,56%,31%,100%,55%
4,Bahia,6–2,Atl Paranaense,"8,127",Flavio Rodrigues De Souza,6,2,"https://fbref.com/en/matches/20e0f0ca/Bahia-Atletico-Paranaense-May-14-2017-Serie-A"">Match Report",40%,60%,81%,86%,37%,42%,60%,30%
5,Avaí,0–0,Vitória,"4,666",Felipe Gomes da Silva,0,0,"https://fbref.com/en/matches/ef847dd8/Avai-Vitoria-May-14-2017-Serie-A"">Match Report",38%,63%,71%,80%,17%,8%,100%,100%
6,Ponte Preta,4–0,Sport Recife,"3,104",Marcos Mateus Pereira,4,0,"https://fbref.com/en/matches/95b0a0e6/Ponte-Preta-Sport-Recife-May-14-2017-Serie-A"">Match Report",51%,49%,82%,81%,55%,0%,%,33%
7,Cruzeiro,1–0,São Paulo,"11,416",Marcelo de Lima Henrique,1,0,"https://fbref.com/en/matches/8d785b4c/Cruzeiro-Sao-Paulo-May-14-2017-Serie-A"">Match Report",38%,62%,77%,84%,63%,23%,100%,80%
8,Grêmio,2–0,Botafogo (RJ),"18,551",Braulio da Silva Machado,2,0,"https://fbref.com/en/matches/083cc0cd/Gremio-Botafogo-RJ-May-14-2017-Serie-A"">Match Report",52%,48%,82%,82%,45%,0%,%,66%
9,Coritiba,4–1,Atl Goianiense,"10,631",Luis César De Oliveira Magalhães,4,1,"https://fbref.com/en/matches/76a50f6c/Coritiba-Atletico-Goianiense-May-15-2017-Serie-A"">Match Report",61%,40%,85%,77%,44%,53%,88%,42%
10,Santos,1–0,Coritiba,"5,921",Wagner do Nascimento Magalhaes,1,0,"https://fbref.com/en/matches/7d014d78/Santos-Coritiba-May-20-2017-Serie-A"">Match Report",47%,53%,77%,80%,43%,48%,100%,66%
11,Atl Goianiense,0–3,Flamengo,"10,144",Igor Junior Benevenuto,0,3,"https://fbref.com/en/matches/5c1370fd/Atletico-Goianiense-Flamengo-May-20-2017-Serie-A"">Match Report",34%,66%,79%,89%,0%,52%,72%,%
12,Chapecoense,1–0,Palmeiras,"10,323",André Luiz de Freitas Castro,1,0,"https://fbref.com/en/matches/cc0675a6/Chapecoense-Palmeiras-May-20-2017-Serie-A"">Match Report",45%,55%,70%,72%,36%,17%,100%,75%
13,Vasco da Gama,2–1,Bahia,"19,030",Leandro Bizzio Marinho,2,1,"https://fbref.com/en/matches/2766877d/Vasco-da-Gama-Bahia-May-21-2017-Serie-A"">Match Report",60%,40%,76%,70%,63%,33%,66%,80%
14,Atlético Mineiro,1–2,Fluminense,"16,145",Jean Pierre Goncalves Lima,1,2,"https://fbref.com/en/matches/68cc172b/Atletico-Mineiro-Fluminense-May-21-2017-Serie-A"">Match Report",60%,40%,81%,73%,16%,33%,60%,66%
15,Atl Paranaense,0–2,Grêmio,"17,244",Marcelo Aparecido Ribeiro De Souza,0,2,"https://fbref.com/en/matches/7a136e70/Atletico-Paranaense-Gremio-May-21-2017-Serie-A"">Match Report",60%,40%,89%,81%,6%,67%,50%,100%
16,Vitória,0–1,Corinthians,"16,515",Pericles Bassols Pegado Cortez,0,1,"https://fbref.com/en/matches/9e2ae8de/Vitoria-Corinthians-May-21-2017-Serie-A"">Match Report",47%,53%,84%,86%,23%,33%,75%,100%
17,Botafogo (RJ),2–0,Ponte Preta,"9,160",Rafael Traci,2,0,"https://fbref.com/en/matches/7c66b176/Botafogo-RJ-Ponte-Preta-May-21-2017-Serie-A"">Match Report",40%,60%,82%,89%,55%,29%,100%,66%
18,Sport Recife,1–1,Cruzeiro,"3,484",Joao Batista de Arruda,1,1,"https://fbref.com/en/matches/78137407/Sport-Recife-Cruzeiro-May-21-2017-Serie-A"">Match Report",44%,56%,75%,77%,50%,29%,80%,80%
19,São Paulo,2–0,Avaí,"12,427",Caio Max Augusto Vieira,2,0,"https://fbref.com/en/matches/e09b2d7a/Sao-Paulo-Avai-May-22-2017-Serie-A"">Match Report",55%,45%,80%,73%,36%,0%,%,50%
20,Vasco da Gama,3–2,Fluminense,"20,442",Raphael Claus,3,2,"https://fbref.com/en/matches/9c66fee9/Vasco-da-Gama-Fluminense-May-27-2017-Serie-A"">Match Report",42%,58%,77%,81%,39%,50%,66%,57%
21,São Paulo,2–0,Palmeiras,"33,288",Anderson Daronco,2,0,"https://fbref.com/en/matches/c4936a41/Sao-Paulo-Palmeiras-May-27-2017-Serie-A"">Match Report",37%,63%,82%,89%,63%,10%,100%,60%
22,Vitória,0–1,Coritiba,"7,619",Vinicius Gonçalves Dias Araujo,0,1,"https://fbref.com/en/matches/a0d71933/Vitoria-Coritiba-May-27-2017-Serie-A"">Match Report",52%,48%,76%,76%,25%,50%,75%,100%
23,Atlético Mineiro,2–2,Ponte Preta,"19,553",Wagner do Nascimento Magalhaes,2,2,"https://fbref.com/en/matches/dfe23851/Atletico-Mineiro-Ponte-Preta-May-28-2017-Serie-A"">Match Report",67%,33%,87%,73%,70%,31%,60%,71%
24,Atl Paranaense,1–1,Flamengo,"19,923",Braulio da Silva Machado,1,1,"https://fbref.com/en/matches/f0f3d432/Atletico-Paranaense-Flamengo-May-28-2017-Serie-A"">Match Report",44%,56%,85%,90%,46%,29%,75%,83%
25,Atl Goianiense,0–1,Corinthians,"15,220",Paulo Henrique Schleinch Vollkopf,0,1,"https://fbref.com/en/matches/897ef128/Atletico-Goianiense-Corinthians-May-28-2017-Serie-A"">Match Report",48%,52%,81%,79%,36%,57%,87%,100%
26,Santos,0–1,Cruzeiro,"7,025",Eduardo Tomaz De Aquino Valadão,0,1,"https://fbref.com/en/matches/40f82b29/Santos-Cruzeiro-May-28-2017-Serie-A"">Match Report",54%,46%,86%,85%,8%,14%,50%,100%
27,Sport Recife,4–3,Grêmio,"3,441",Jailson Macêdo Freitas,4,3,"https://fbref.com/en/matches/67c43619/Sport-Recife-Gremio-May-28-2017-Serie-A"">Match Report",67%,33%,85%,71%,56%,50%,50%,60%
28,Botafogo (RJ),1–0,Bahia,"7,886",Rodolpho Toski Marques,1,0,"https://fbref.com/en/matches/af2fed5c/Botafogo-RJ-Bahia-May-28-2017-Serie-A"">Match Report",48%,52%,77%,80%,40%,57%,87%,75%
29,Chapecoense,2–0,Avaí,"6,188",Marcelo de Lima Henrique,2,0,"https://fbref.com/en/matches/8ff4bcd7/Chapecoense-Avai-May-29-2017-Serie-A"">Match Report",57%,43%,84%,78%,18%,27%,100%,50%
30,Coritiba,1–0,Atl Paranaense,"15,442",Raphael Claus,1,0,"https://fbref.com/en/matches/9f4a87c4/Coritiba-Atletico-Paranaense-June-3-2017-Serie-A"">Match Report",49%,51%,74%,76%,45%,22%,100%,80%
31,Fluminense,2–1,Vitória,"13,801",Ricardo Marques Ribeiro,2,1,"https://fbref.com/en/matches/01ca42ca/Fluminense-Vitoria-June-3-2017-Serie-A"">Match Report",56%,44%,78%,73%,35%,29%,50%,66%
32,Corinthians,2–0,Santos,"40,169",Anderson Daronco,2,0,"https://fbref.com/en/matches/ef696662/Corinthians-Santos-June-3-2017-Serie-A"">Match Report",50%,50%,83%,81%,22%,0%,%,50%
33,Avaí,1–0,Sport Recife,"4,646",Wagner Reway,1,0,"https://fbref.com/en/matches/c8c03fd9/Avai-Sport-Recife-June-4-2017-Serie-A"">Match Report",35%,65%,73%,87%,14%,21%,66%,0%
34,Flamengo,0–0,Botafogo (RJ),"10,577",Dewson Fernando Freitas da Silva,0,0,"https://fbref.com/en/matches/42868fb7/Flamengo-Botafogo-RJ-June-4-2017-Serie-A"">Match Report",65%,35%,84%,69%,11%,25%,100%,100%
35,Ponte Preta,1–0,São Paulo,"6,246",Rodolpho Toski Marques,1,0,"https://fbref.com/en/matches/3a5d686f/Ponte-Preta-Sao-Paulo-June-4-2017-Serie-A"">Match Report",45%,55%,79%,84%,56%,27%,100%,80%
36,Grêmio,2–0,Vasco da Gama,"22,578",Sandro Ricci,2,0,"https://fbref.com/en/matches/7939cfa1/Gremio-Vasco-da-Gama-June-4-2017-Serie-A"">Match Report",58%,42%,84%,77%,18%,0%,%,0%
37,Palmeiras,0–0,Atlético Mineiro,"34,240",Marcelo de Lima Henrique,0,0,"https://fbref.com/en/matches/b426ac39/Palmeiras-Atletico-Mineiro-June-4-2017-Serie-A"">Match Report",53%,47%,79%,73%,40%,33%,100%,83%
38,Cruzeiro,0–2,Chapecoense,"16,591",Claudio Francisco Lima e Silva,0,2,"https://fbref.com/en/matches/26b5b188/Cruzeiro-Chapecoense-June-4-2017-Serie-A"">Match Report",61%,39%,83%,76%,38%,50%,60%,100%
39,Bahia,3–0,Atl Goianiense,"13,364",Rodrigo Batista Raposo,3,0,"https://fbref.com/en/matches/3b76e6dd/Bahia-Atletico-Goianiense-June-5-2017-Serie-A"">Match Report",59%,41%,86%,77%,44%,33%,100%,62%
40,Fluminense,1–1,Atl Paranaense,"14,843",Igor Junior Benevenuto,1,1,"https://fbref.com/en/matches/1d03a650/Fluminense-Atletico-Paranaense-June-6-2017-Serie-A"">Match Report",54%,46%,83%,79%,47%,14%,0%,85%
41,Coritiba,1–0,Palmeiras,"16,648",Braulio da Silva Machado,1,0,"https://fbref.com/en/matches/37cc4643/Coritiba-Palmeiras-June-7-2017-Serie-A"">Match Report",44%,56%,74%,79%,60%,38%,80%,66%
42,Atlético Mineiro,1–0,Avaí,"12,648",Bruno Arleu de Araujo,1,0,"https://fbref.com/en/matches/20e666d3/Atletico-Mineiro-Avai-June-7-2017-Serie-A"">Match Report",54%,46%,85%,79%,67%,31%,75%,75%
43,Santos,1–0,Botafogo (RJ),"14,486",Jailson Macêdo Freitas,1,0,"https://fbref.com/en/matches/32d2d03d/Santos-Botafogo-RJ-June-7-2017-Serie-A"">Match Report",61%,39%,86%,79%,38%,25%,100%,66%
44,Sport Recife,2–0,Flamengo,"11,426",Anderson Daronco,2,0,"https://fbref.com/en/matches/277ccf36/Sport-Recife-Flamengo-June-7-2017-Serie-A"">Match Report",39%,61%,73%,80%,31%,44%,100%,50%
45,Vasco da Gama,2–5,Corinthians,"16,288",Wagner Reway,2,5,"https://fbref.com/en/matches/70225d42/Vasco-da-Gama-Corinthians-June-7-2017-Serie-A"">Match Report",57%,43%,85%,79%,33%,60%,16%,77%
46,São Paulo,2–0,Vitória,"12,536",Rafael Traci,2,0,"https://fbref.com/en/matches/5dd02b82/Sao-Paulo-Vitoria-June-8-2017-Serie-A"">Match Report",51%,49%,80%,79%,50%,27%,66%,77%
47,Atl Goianiense,3–0,Ponte Preta,"2,862",Pericles Bassols Pegado Cortez,3,0,"https://fbref.com/en/matches/22e41964/Atletico-Goianiense-Ponte-Preta-June-8-2017-Serie-A"">Match Report",37%,63%,72%,85%,54%,40%,100%,57%
48,Chapecoense,3–6,Grêmio,"14,403",Rodolpho Toski Marques,3,6,"https://fbref.com/en/matches/4437f2d4/Chapecoense-Gremio-June-8-2017-Serie-A"">Match Report",48%,52%,77%,78%,39%,70%,14%,42%
49,Bahia,1–0,Cruzeiro,"18,917",Wagner do Nascimento Magalhaes,1,0,"https://fbref.com/en/matches/6f36b8ff/Bahia-Cruzeiro-June-8-2017-Serie-A"">Match Report",59%,41%,87%,75%,26%,33%,75%,80%
50,Palmeiras,3–1,Fluminense,"33,066",André Luiz de Freitas Castro,3,1,"https://fbref.com/en/matches/81911aa7/Palmeiras-Fluminense-June-10-2017-Serie-A"">Match Report",56%,44%,79%,77%,38%,30%,66%,50%
