0,1,2,3,4,5,6,7,8,9,10,11
"[('7', 'Fouls', '10')]","[('4', 'Corners', '6')]","[('21', 'Crosses', '15')]","[('537', 'Touches', '701')]","[('19', 'Tackles', '15')]","[('24', 'Interceptions', '18')]","[('10', 'Aerials Won', '10')]","[('18', 'Clearances', '27')]","[('3', 'Offsides', '1')]","[('10', 'Goal Kicks', '11')]","[('18', 'Throw Ins', '26')]","[('57', 'Long Balls', '54')]"
"[('19', 'Fouls', '16')]","[('3', 'Corners', '2')]","[('18', 'Crosses', '16')]","[('590', 'Touches', '562')]","[('16', 'Tackles', '18')]","[('16', 'Interceptions', '17')]","[('9', 'Aerials Won', '6')]","[('18', 'Clearances', '11')]","[('5', 'Offsides', '2')]","[('11', 'Goal Kicks', '5')]","[('13', 'Throw Ins', '22')]","[('47', 'Long Balls', '41')]"
"[('13', 'Fouls', '17')]","[('4', 'Corners', '2')]","[('23', 'Crosses', '13')]","[('660', 'Touches', '650')]","[('15', 'Tackles', '21')]","[('25', 'Interceptions', '14')]","[('12', 'Aerials Won', '5')]","[('12', 'Clearances', '16')]","[('2', 'Offsides', '1')]","[('6', 'Goal Kicks', '6')]","[('21', 'Throw Ins', '32')]","[('48', 'Long Balls', '60')]"
"[('17', 'Fouls', '13')]","[('6', 'Corners', '6')]","[('21', 'Crosses', '23')]","[('691', 'Touches', '521')]","[('24', 'Tackles', '19')]","[('11', 'Interceptions', '14')]","[('13', 'Aerials Won', '10')]","[('17', 'Clearances', '16')]","[('1', 'Offsides', '1')]","[('9', 'Goal Kicks', '12')]","[('15', 'Throw Ins', '18')]","[('52', 'Long Balls', '52')]"
"[('16', 'Fouls', '13')]","[('3', 'Corners', '4')]","[('16', 'Crosses', '11')]","[('523', 'Touches', '583')]","[('24', 'Tackles', '18')]","[('20', 'Interceptions', '15')]","[('23', 'Aerials Won', '12')]","[('20', 'Clearances', '16')]","[('1', 'Offsides', '2')]","[('4', 'Goal Kicks', '5')]","[('37', 'Throw Ins', '25')]","[('56', 'Long Balls', '68')]"
"[('11', 'Fouls', '16')]","[('5', 'Corners', '3')]","[('28', 'Crosses', '20')]","[('747', 'Touches', '533')]","[('6', 'Tackles', '20')]","[('11', 'Interceptions', '13')]","[('18', 'Aerials Won', '13')]","[('13', 'Clearances', '21')]","[('0', 'Offsides', '3')]","[('5', 'Goal Kicks', '12')]","[('24', 'Throw Ins', '16')]","[('61', 'Long Balls', '55')]"
"[('20', 'Fouls', '14')]","[('5', 'Corners', '7')]","[('14', 'Crosses', '19')]","[('554', 'Touches', '638')]","[('13', 'Tackles', '16')]","[('26', 'Interceptions', '11')]","[('23', 'Aerials Won', '15')]","[('25', 'Clearances', '15')]","[('1', 'Offsides', '2')]","[('11', 'Goal Kicks', '10')]","[('17', 'Throw Ins', '23')]","[('49', 'Long Balls', '52')]"
"[('13', 'Fouls', '16')]","[('9', 'Corners', '3')]","[('19', 'Crosses', '12')]","[('484', 'Touches', '743')]","[('16', 'Tackles', '19')]","[('7', 'Interceptions', '18')]","[('11', 'Aerials Won', '8')]","[('18', 'Clearances', '13')]","[('1', 'Offsides', '2')]","[('12', 'Goal Kicks', '4')]","[('10', 'Throw Ins', '18')]","[('49', 'Long Balls', '36')]"
"[('10', 'Fouls', '12')]","[('5', 'Corners', '5')]","[('12', 'Crosses', '26')]","[('612', 'Touches', '740')]","[('10', 'Tackles', '14')]","[('8', 'Interceptions', '20')]","[('15', 'Aerials Won', '10')]","[('23', 'Clearances', '12')]","[('3', 'Offsides', '0')]","[('6', 'Goal Kicks', '6')]","[('27', 'Throw Ins', '21')]","[('64', 'Long Balls', '53')]"
"[('21', 'Fouls', '13')]","[('12', 'Corners', '6')]","[('36', 'Crosses', '14')]","[('705', 'Touches', '456')]","[('18', 'Tackles', '20')]","[('24', 'Interceptions', '17')]","[('7', 'Aerials Won', '7')]","[('12', 'Clearances', '30')]","[('0', 'Offsides', '2')]","[('7', 'Goal Kicks', '8')]","[('17', 'Throw Ins', '21')]","[('30', 'Long Balls', '43')]"
