,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves,HomeFouls,HomeCorners,HomeCrosses,HomeTouches,HomeTackles,HomeInterceptions,HomeAerials,HomeClearances,HomeOffsides,HomeGoalKicks,HomeThrowIns,HomeLongBalls,AwayFouls,AwayCorners,AwayCrosses,AwayTouches,AwayTackles,AwayInterceptions,AwayAerials,AwayClearances,AwayOffsides,AwayGoalKicks,AwayThrowIns,AwayLongBalls
0,Flamengo,1–1,Atlético Mineiro,"50,220",Jailson Macêdo Freitas,1,1,"https://fbref.com/en/matches/d4af3198/Flamengo-Atletico-Mineiro-May-13-2017-Serie-A"">Match Report",42%,58%,77%,82%,27%,27%,25%,33%,7,4,21,537,19,24,10,18,3,10,18,57,10,6,15,701,15,18,10,27,1,11,26,54
1,Corinthians,1–1,Chapecoense,"31,470",Elmo Alves Resende Cunha,1,1,"https://fbref.com/en/matches/eaf952cd/Corinthians-Chapecoense-May-13-2017-Serie-A"">Match Report",67%,33%,84%,74%,40%,7%,0%,50%,10,1,15,810,19,9,14,12,1,10,25,54,12,7,22,496,17,22,17,16,3,4,24,43
2,Fluminense,3–2,Santos,"11,835",Wagner Reway,3,2,"https://fbref.com/en/matches/2b4ec09f/Fluminense-Santos-May-14-2017-Serie-A"">Match Report",38%,62%,86%,89%,56%,35%,71%,40%,15,5,27,483,12,11,12,28,2,10,7,54,18,8,21,684,13,4,12,22,2,5,22,24
3,Palmeiras,4–0,Vasco da Gama,"3,325",Rodolpho Toski Marques,4,0,"https://fbref.com/en/matches/97072c2b/Palmeiras-Vasco-da-Gama-May-14-2017-Serie-A"">Match Report",51%,49%,86%,84%,56%,31%,100%,55%,19,3,18,590,16,16,9,18,5,11,13,47,16,2,16,562,18,17,6,11,2,5,22,41
4,Bahia,6–2,Atl Paranaense,"8,127",Flavio Rodrigues De Souza,6,2,"https://fbref.com/en/matches/20e0f0ca/Bahia-Atletico-Paranaense-May-14-2017-Serie-A"">Match Report",40%,60%,81%,86%,37%,42%,60%,30%,11,14,30,487,22,7,7,16,4,4,20,44,11,3,10,669,15,12,11,30,1,10,21,35
5,Avaí,0–0,Vitória,"4,666",Felipe Gomes da Silva,0,0,"https://fbref.com/en/matches/ef847dd8/Avai-Vitoria-May-14-2017-Serie-A"">Match Report",38%,63%,71%,80%,17%,8%,100%,100%,6,7,28,522,19,22,23,22,2,8,20,55,15,4,12,756,12,18,19,17,2,13,24,81
6,Ponte Preta,4–0,Sport Recife,"3,104",Marcos Mateus Pereira,4,0,"https://fbref.com/en/matches/95b0a0e6/Ponte-Preta-Sport-Recife-May-14-2017-Serie-A"">Match Report",51%,49%,82%,81%,55%,0%,%,33%,13,4,23,660,15,25,12,12,2,6,21,48,17,2,13,650,21,14,5,16,1,6,32,60
7,Cruzeiro,1–0,São Paulo,"11,416",Marcelo de Lima Henrique,1,0,"https://fbref.com/en/matches/8d785b4c/Cruzeiro-Sao-Paulo-May-14-2017-Serie-A"">Match Report",38%,62%,77%,84%,63%,23%,100%,80%,10,5,22,550,28,25,13,31,0,10,23,55,13,5,32,760,13,15,13,22,0,2,30,71
8,Grêmio,2–0,Botafogo (RJ),"18,551",Braulio da Silva Machado,2,0,"https://fbref.com/en/matches/083cc0cd/Gremio-Botafogo-RJ-May-14-2017-Serie-A"">Match Report",52%,48%,82%,82%,45%,0%,%,66%,13,6,17,619,14,9,12,13,1,6,17,63,19,4,13,587,18,17,19,13,1,9,15,48
9,Coritiba,4–1,Atl Goianiense,"10,631",Luis César De Oliveira Magalhães,4,1,"https://fbref.com/en/matches/76a50f6c/Coritiba-Atletico-Goianiense-May-15-2017-Serie-A"">Match Report",61%,40%,85%,77%,44%,53%,88%,42%,17,6,21,691,24,11,13,17,1,9,15,52,13,6,23,521,19,14,10,16,1,12,18,52
10,Santos,1–0,Coritiba,"5,921",Wagner do Nascimento Magalhaes,1,0,"https://fbref.com/en/matches/7d014d78/Santos-Coritiba-May-20-2017-Serie-A"">Match Report",47%,53%,77%,80%,43%,48%,100%,66%,24,3,15,542,16,16,12,27,1,12,24,50,17,4,19,578,10,18,10,12,2,7,21,55
11,Atl Goianiense,0–3,Flamengo,"10,144",Igor Junior Benevenuto,0,3,"https://fbref.com/en/matches/5c1370fd/Atletico-Goianiense-Flamengo-May-20-2017-Serie-A"">Match Report",34%,66%,79%,89%,0%,52%,72%,%,11,4,16,489,17,17,9,18,0,11,17,55,13,7,23,806,11,19,8,18,1,7,17,55
12,Chapecoense,1–0,Palmeiras,"10,323",André Luiz de Freitas Castro,1,0,"https://fbref.com/en/matches/cc0675a6/Chapecoense-Palmeiras-May-20-2017-Serie-A"">Match Report",45%,55%,70%,72%,36%,17%,100%,75%,16,3,16,523,24,20,23,20,1,4,37,56,13,4,11,583,18,15,12,16,2,5,25,68
13,Vasco da Gama,2–1,Bahia,"19,030",Leandro Bizzio Marinho,2,1,"https://fbref.com/en/matches/2766877d/Vasco-da-Gama-Bahia-May-21-2017-Serie-A"">Match Report",60%,40%,76%,70%,63%,33%,66%,80%,13,10,28,615,33,16,17,8,3,11,27,57,23,5,17,503,24,15,17,24,3,5,32,47
14,Atlético Mineiro,1–2,Fluminense,"16,145",Jean Pierre Goncalves Lima,1,2,"https://fbref.com/en/matches/68cc172b/Atletico-Mineiro-Fluminense-May-21-2017-Serie-A"">Match Report",60%,40%,81%,73%,16%,33%,60%,66%,18,12,43,644,17,16,17,10,3,6,24,63,23,5,14,503,11,19,8,40,4,14,18,72
15,Atl Paranaense,0–2,Grêmio,"17,244",Marcelo Aparecido Ribeiro De Souza,0,2,"https://fbref.com/en/matches/7a136e70/Atletico-Paranaense-Gremio-May-21-2017-Serie-A"">Match Report",60%,40%,89%,81%,6%,67%,50%,100%,11,5,28,747,6,11,18,13,0,5,24,61,16,3,20,533,20,13,13,21,3,12,16,55
16,Vitória,0–1,Corinthians,"16,515",Pericles Bassols Pegado Cortez,0,1,"https://fbref.com/en/matches/9e2ae8de/Vitoria-Corinthians-May-21-2017-Serie-A"">Match Report",47%,53%,84%,86%,23%,33%,75%,100%,13,3,20,596,15,19,15,17,0,5,22,74,6,4,18,664,18,13,12,26,2,13,21,39
